,id,name,categories,referralId,hasPerk,location.address,location.lat,location.lng,location.labeledLatLngs,location.distance,location.postalCode,location.cc,location.city,location.state,location.country,location.formattedAddress,location.crossStreet,location.neighborhood,rating,likes
0,502904745dd7750e9d63bc17,Starbucks,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1591021496,False,1-3 Villiers street,51.50745,-0.122863,"[{'label': 'display', 'lat': 51.50745, 'lng': -0.122863}]",322,WC2N 6NN,GB,London,Greater London,United Kingdom,"['1-3 Villiers street', 'London', 'Greater London', 'WC2N 6NN', 'United Kingdom']",,,6.8,125
1,4b840247f964a520e91a31e3,Starbucks,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1591021496,False,"10 Kingsway, Unit B2; St Catherines House",51.513868,-0.117669,"[{'label': 'display', 'lat': 51.513868, 'lng': -0.117669}]",1005,WC2B 6LH,GB,London,Greater London,United Kingdom,"['10 Kingsway, Unit B2; St Catherines House', 'London', 'Greater London', 'WC2B 6LH', 'United Kingdom']",,,7.3,70
2,4b73d904f964a52076bd2de3,Starbucks,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1591021496,False,"Charing Cross Road, Unit 1  129-133",51.515233,-0.130191,"[{'label': 'display', 'lat': 51.515233, 'lng': -0.130191}]",911,WC2H 0EA,GB,London,Greater London,United Kingdom,"['Charing Cross Road, Unit 1  129-133', 'Camden', 'Greater London', 'WC2H 0EA', 'United Kingdom']",,,6.9,126
3,4b7553b8f964a5207a062ee3,Starbucks,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1591021496,False,10 Russell Street,51.512332,-0.121685,"[{'label': 'display', 'lat': 51.512332, 'lng': -0.121685}]",697,WC2B 5HZ,GB,London,Greater London,United Kingdom,"['10 Russell Street', 'London', 'Greater London', 'WC2B 5HZ', 'United Kingdom']",,,6.6,165
4,4ad58b9ff964a5201b0321e3,Starbucks,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1591021496,False,112 - 116 New Oxford Street,51.516645,-0.129358,"[{'label': 'display', 'lat': 51.516645, 'lng': -0.129358}]",1056,WC1A 1HH,GB,Bloomsbury,Greater London,United Kingdom,"['112 - 116 New Oxford Street', 'Bloomsbury', 'Greater London', 'WC1A 1HH', 'United Kingdom']",,,6.4,293
5,4b9e7bb3f964a520ece736e3,Starbucks,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1591021496,False,"6A Vigo Street, London",51.510288,-0.139154,"[{'label': 'display', 'lat': 51.510288, 'lng': -0.139154}]",876,W1S 3HF,GB,London,Greater London,United Kingdom,"['6A Vigo Street, London (Sackville St.)', 'London', 'Greater London', 'W1S 3HF', 'United Kingdom']",Sackville St.,,7.0,380
6,4e2e60a41838f1c552b9ef8d,Starbucks,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1591021496,False,"17 Broadway, Westminister",51.499107,-0.133562,"[{'label': 'display', 'lat': 51.499107, 'lng': -0.133562}]",996,SW1H 0AZ,GB,London,Greater London,United Kingdom,"['17 Broadway, Westminister (Near Dacre St.)', 'London', 'Greater London', 'SW1H 0AZ', 'United Kingdom']",Near Dacre St.,,5.8,49
7,4bebeb7f415e20a17fd0e6bb,Starbucks,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1591021496,False,"60 - 66 Wardour Street, Ground Floor",51.512712,-0.133353,"[{'label': 'display', 'lat': 51.512712, 'lng': -0.133353}]",733,W1F 0TA,GB,London,Greater London,United Kingdom,"['60 - 66 Wardour Street, Ground Floor (National House, Ground Fl.)', 'London', 'Greater London', 'W1F 0TA', 'United Kingdom']","National House, Ground Fl.",,6.3,158
8,4ae2d576f964a520828f21e3,Starbucks,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1591021496,False,52 Berkeley St.,51.507442,-0.142527,"[{'label': 'display', 'lat': 51.507442, 'lng': -0.142527}]",1041,W1J 8ET,GB,London,Greater London,United Kingdom,"['52 Berkeley St. (Near Piccadilly)', 'London', 'Greater London', 'W1J 8ET', 'United Kingdom']",Near Piccadilly,,7.3,186
9,4d6a56969bd6a14301f96bdf,Starbucks,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1591021496,False,40 Neal St,51.51437205005262,-0.12563567449984456,"[{'label': 'display', 'lat': 51.51437205005262, 'lng': -0.12563567449984456}]",806,WC2H 9PS,GB,London,Greater London,United Kingdom,"[""40 Neal St (at Short's Gardens)"", 'London', 'Greater London', 'WC2H 9PS', 'United Kingdom']",at Short's Gardens,,6.2,8
