,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,London,51.507442,-0.142527,The Ritz London,51.50707816583323,-0.141627349121336,Hotel
1,London,51.507442,-0.142527,Novikov,51.507767103762376,-0.14284957683152608,Asian Restaurant
2,London,51.507442,-0.142527,Brown's Hotel,51.50912665021097,-0.14207727877501275,Hotel
3,London,51.507442,-0.142527,Burger & Lobster,51.507117524710274,-0.14547680250792666,Seafood Restaurant
4,London,51.507442,-0.142527,Prada,51.50899826645793,-0.14095863219435442,Boutique
5,London,51.507442,-0.142527,M&S Simply Food,51.50699826,-0.14293789999999998,Grocery Store
6,London,51.507442,-0.142527,Quattro Passi,51.50882687132074,-0.14269751374648146,Italian Restaurant
7,London,51.507442,-0.142527,Gymkhana,51.508545278294704,-0.14142367023218486,Indian Restaurant
8,London,51.507442,-0.142527,Tod's,51.50824262051389,-0.14017310249372267,Shoe Store
9,London,51.507442,-0.142527,Le Caprice,51.506505,-0.140878,English Restaurant
10,London,51.507442,-0.142527,THE ENGLISH Tea Room,51.50915493430172,-0.14202388547879866,Tea Room
11,London,51.507442,-0.142527,Ladurée,51.50840048706268,-0.1395351594200065,Dessert Shop
12,London,51.507442,-0.142527,JOE & THE JUICE,51.50782762167528,-0.14277935028076172,Juice Bar
13,London,51.507442,-0.142527,Caviar House & Prunier,51.507515999999995,-0.140821,Seafood Restaurant
14,London,51.507442,-0.142527,The American Bar,51.50603910081047,-0.13984735716902855,Hotel Bar
15,London,51.507442,-0.142527,The Wolseley,51.507391999999996,-0.140903,Modern European Restaurant
16,London,51.507442,-0.142527,Ralph Lauren,51.509802294563094,-0.1413938204885845,Clothing Store
17,London,51.507442,-0.142527,St. James's Hotel and Club,51.50623400028182,-0.14020306892090836,Hotel
18,London,51.507442,-0.142527,Royal Academy of Arts,51.50910852221246,-0.13947604747954753,Art Museum
19,London,51.507442,-0.142527,Burlington Arcade,51.508317592089526,-0.13941174033325254,Shopping Mall
20,London,51.507442,-0.142527,Fortnum & Mason,51.50836290883559,-0.13866698492205912,Department Store
21,London,51.507442,-0.142527,Dukes Bar,51.50563202779671,-0.13948063229561594,Hotel Bar
22,London,51.507442,-0.142527,Franco's,51.50740183168107,-0.13985307406455033,Italian Restaurant
23,London,51.507442,-0.142527,Taylor of Old Bond Street,51.50774181712393,-0.13890756978823735,Cosmetics Shop
24,London,51.507442,-0.142527,Gucci,51.508684864671956,-0.14081060886383054,Boutique
25,London,51.507442,-0.142527,Green Park,51.50465559886703,-0.14378786087036133,Park
26,London,51.507442,-0.142527,Little House,51.5069710780994,-0.14692798986768432,Hotel
27,London,51.507442,-0.142527,Maille,51.50829635582405,-0.13930783347985806,Gourmet Shop
28,London,51.507442,-0.142527,Penhaligon's,51.508957853634776,-0.14011275955111588,Perfume Shop
29,London,51.507442,-0.142527,Tramp,51.50833189329173,-0.13783554875328055,Nightclub
