,City,Country,Officialpopulation,Latitude,Longitude,StarbucksStoresCount,SB_Density
21,Nizhny Novgorod,Russia,1259013,56.326942,44.0075,0,inf
3,Saint Petersburg,Russia,5383890,59.95,-30.3,0,inf
32,Perm,Russia,1051583,56.316666,56.316666,0,inf
27,Ufa,Russia,1121429,54.75,55.966667,0,inf
6,Kiev,Ukraine,2950800,50.45,30.523333,1,2950800.0
10,Minsk,Belarus,1982444,53.9,27.566668,1,1982444.0
17,Kharkiv,Ukraine,1451132,50.004444,36.231388,1,1451132.0
7,Rome,Italy,2844750,41.9,12.5,2,1422375.0
30,Tekirdağ,Turkey,1055412,40.97778,27.515278,1,1055412.0
33,Volgograd,Russia,1013533,48.7,44.516666,1,1013533.0
31,Voronezh,Russia,1054537,51.671665,39.210556,2,527268.5
34,Odessa,Ukraine,1011494,46.467,30.717,2,505747.0
18,Belgrade,Serbia,1397939,44.816666,20.466667,3,465979.6666666667
26,Samara,Russia,1170910,53.202778,50.140835,3,390303.3333333333
0,Istanbul,Turkey,15519267,41.01361,28.955,50,310385.34
1,Moscow,Russia,12615279,55.75,37.61667,50,252305.58
22,Kazan,Russia,1243500,55.79028,49.134724,5,248700.0
2,London,United Kingdom,9126366,51.50722,0.1275,50,182527.32
19,Milan,Italy,1390434,45.466667,9.183333,8,173804.25
4,Berlin,Germany,3748148,52.516666,13.383333,22,170370.36363636365
28,Rostov-on-Don,Russia,1119875,47.233334,39.7,7,159982.14285714287
23,Sofia,Bulgaria,1238438,42.7,23.33,8,154804.75
11,Hamburg,Germany,1930996,53.565277,10.001389,14,137928.2857142857
29,Cologne,Germany,1085664,50.93639,6.952778,8,135708.0
16,Munich,Germany,1471508,48.13333,11.566667,17,86559.29411764706
12,Vienna,Austria,1899055,48.2,16.366667,22,86320.68181818182
9,Bucharest,Romania,2106144,44.4325,26.10389,32,65817.0
5,Madrid,Spain,3223334,40.38333,-3.716667,50,64466.68
25,Brussels,Belgium,1211035,50.8467,4.3525,20,60551.75
13,Warsaw,Poland,1802237,52.233334,21.016666,30,60074.566666666666
14,Budapest,Hungary,1768073,47.4925,19.05139,32,55252.28125
8,Paris,France,2140526,48.8567,2.3508,50,42810.52
15,Barcelona,Spain,1636762,41.38333,2.183333,43,38064.232558139534
20,Prague,Czech Republic,1308632,50.083332,14.416667,35,37389.485714285714
24,Birmingham,United Kingdom,1223000,52.483055,-1.893611,44,27795.454545454544
